Project,Dependency,FilePath,Size
para,flexmark-ext-gfm-tasklist-0.64.0.jar,results/para/para-core/original/compile-scope-dependencies/dependency/flexmark-ext-gfm-tasklist-0.64.0.jar,22809
para,flexmark-util-ast-0.64.0.jar,results/para/para-core/original/compile-scope-dependencies/dependency/flexmark-util-ast-0.64.0.jar,65683
para,javax.ws.rs-api-2.1.1.jar,results/para/para-core/original/compile-scope-dependencies/dependency/javax.ws.rs-api-2.1.1.jar,126898
para,jul-to-slf4j-1.7.36.jar,results/para/para-core/original/compile-scope-dependencies/dependency/jul-to-slf4j-1.7.36.jar,4519
para,auth-2.18.32.jar,results/para/para-core/original/compile-scope-dependencies/dependency/auth-2.18.32.jar,200550
para,json-utils-2.18.32.jar,results/para/para-core/original/compile-scope-dependencies/dependency/json-utils-2.18.32.jar,30090
para,commons-collections-3.2.2.jar,results/para/para-core/original/compile-scope-dependencies/dependency/commons-collections-3.2.2.jar,588337
para,commons-codec-1.15.jar,results/para/para-core/original/compile-scope-dependencies/dependency/commons-codec-1.15.jar,353793
para,logback-access-1.2.11.jar,results/para/para-core/original/compile-scope-dependencies/dependency/logback-access-1.2.11.jar,102943
para,jsoup-1.15.3.jar,results/para/para-core/original/compile-scope-dependencies/dependency/jsoup-1.15.3.jar,438018
para,flexmark-util-data-0.64.0.jar,results/para/para-core/original/compile-scope-dependencies/dependency/flexmark-util-data-0.64.0.jar,25170
para,endpoints-spi-2.18.32.jar,results/para/para-core/original/compile-scope-dependencies/dependency/endpoints-spi-2.18.32.jar,13192
para,regions-2.18.32.jar,results/para/para-core/original/compile-scope-dependencies/dependency/regions-2.18.32.jar,767386
para,commons-beanutils-1.9.4.jar,results/para/para-core/original/compile-scope-dependencies/dependency/commons-beanutils-1.9.4.jar,246918
para,flexmark-util-visitor-0.64.0.jar,results/para/para-core/original/compile-scope-dependencies/dependency/flexmark-util-visitor-0.64.0.jar,6729
para,eventstream-1.0.1.jar,results/para/para-core/original/compile-scope-dependencies/dependency/eventstream-1.0.1.jar,30193
para,utils-2.18.32.jar,results/para/para-core/original/compile-scope-dependencies/dependency/utils-2.18.32.jar,181102
para,jackson-dataformat-yaml-2.14.0-rc2.jar,results/para/para-core/original/compile-scope-dependencies/dependency/jackson-dataformat-yaml-2.14.0-rc2.jar,54377
para,logback-classic-1.2.11.jar,results/para/para-core/original/compile-scope-dependencies/dependency/logback-classic-1.2.11.jar,231851
para,flexmark-util-misc-0.64.0.jar,results/para/para-core/original/compile-scope-dependencies/dependency/flexmark-util-misc-0.64.0.jar,59545
