Project,FilePath,Dependency,NA,RemovedTypes,TotalTypes
para,results/para/para-core/deptrim/deptrim.log,com.vladsch.flexmark:flexmark-ext-gfm-tasklist:0.64.0,,2,13
para,results/para/para-core/deptrim/deptrim.log,org.hibernate.validator:hibernate-validator:6.2.5.Final,,919,921
para,results/para/para-core/deptrim/deptrim.log,com.fasterxml.jackson.core:jackson-databind:2.14.0-rc2,,51,772
para,results/para/para-core/deptrim/deptrim.log,org.slf4j:slf4j-api:1.7.36,,2,34
para,results/para/para-core/deptrim/deptrim.log,software.amazon.awssdk:regions:2.18.32,,26,394
para,results/para/para-core/deptrim/deptrim.log,com.vladsch.flexmark:flexmark-util-misc:0.64.0,,9,27
para,results/para/para-core/deptrim/deptrim.log,javax.validation:validation-api:2.0.1.Final,,38,143
para,results/para/para-core/deptrim/deptrim.log,com.vladsch.flexmark:flexmark-util-dependency:0.64.0,,5,11
para,results/para/para-core/deptrim/deptrim.log,ch.qos.logback:logback-core:1.2.11,,100,354
para,results/para/para-core/deptrim/deptrim.log,javax.ws.rs:javax.ws.rs-api:2.1.1,,102,138
para,results/para/para-core/deptrim/deptrim.log,com.vladsch.flexmark:flexmark-util-sequence:0.64.0,,5,98
para,results/para/para-core/deptrim/deptrim.log,com.vladsch.flexmark:flexmark-ext-media-tags:0.64.0,,8,19
para,results/para/para-core/deptrim/deptrim.log,com.fasterxml.jackson.core:jackson-core:2.14.0-rc2,,21,160
para,results/para/para-core/deptrim/deptrim.log,com.vladsch.flexmark:flexmark-util-format:0.64.0,,8,56
para,results/para/para-core/deptrim/deptrim.log,com.vladsch.flexmark:flexmark:0.64.0,,21,258
para,results/para/para-core/deptrim/deptrim.log,commons-io:commons-io:2.11.0,,141,201
para,results/para/para-core/deptrim/deptrim.log,com.fasterxml:classmate:1.5.1,,39,40
para,results/para/para-core/deptrim/deptrim.log,commons-collections:commons-collections:3.2.2,,426,460
para,results/para/para-core/deptrim/deptrim.log,software.amazon.awssdk:sdk-core:2.18.32,,509,557
para,results/para/para-core/deptrim/deptrim.log,com.vladsch.flexmark:flexmark-util-collection:0.64.0,,1,44
para,results/para/para-core/deptrim/deptrim.log,jakarta.validation:jakarta.validation-api:2.0.2,,38,143
para,results/para/para-core/deptrim/deptrim.log,com.vladsch.flexmark:flexmark-util-html:0.64.0,,10,19
para,results/para/para-core/deptrim/deptrim.log,commons-codec:commons-codec:1.15,,94,106
para,results/para/para-core/deptrim/deptrim.log,com.fasterxml.jackson.core:jackson-annotations:2.14.0-rc2,,1,73
para,results/para/para-core/deptrim/deptrim.log,org.apache.commons:commons-lang3:3.12.0,,221,345
para,results/para/para-core/deptrim/deptrim.log,com.vladsch.flexmark:flexmark-ext-emoji:0.64.0,,2,19
para,results/para/para-core/deptrim/deptrim.log,org.jetbrains:annotations:15.0,,30,33
para,results/para/para-core/deptrim/deptrim.log,commons-beanutils:commons-beanutils:1.9.4,,74,137
para,results/para/para-core/deptrim/deptrim.log,org.codehaus.woodstox:stax2-api:4.2.1,,124,125
para,results/para/para-core/deptrim/deptrim.log,software.amazon.awssdk:annotations:2.18.32,,4,12
para,results/para/para-core/deptrim/deptrim.log,com.vladsch.flexmark:flexmark-util-data:0.64.0,,1,18
para,results/para/para-core/deptrim/deptrim.log,org.nibor.autolink:autolink:0.6.0,,2,14
para,results/para/para-core/deptrim/deptrim.log,io.github.classgraph:classgraph:4.8.149,,1,261
para,results/para/para-core/deptrim/deptrim.log,com.vladsch.flexmark:flexmark-util-ast:0.64.0,,2,51
para,results/para/para-core/deptrim/deptrim.log,com.typesafe:config:1.4.2,,6,181
para,results/para/para-core/deptrim/deptrim.log,com.fasterxml.jackson.datatype:jackson-datatype-jsr310:2.14.0-rc2,,5,59
