Project,Dependency,DependencyJar,TotalOriginalClasses
jooby_jooby,org.jetbrains.kotlinx:kotlinx-coroutines-core-jvm:1.6.2,kotlinx-coroutines-core-jvm-1.6.2,845
jooby_jooby,org.jetbrains.kotlin:kotlin-stdlib:1.6.21,kotlin-stdlib-1.6.21,881
jooby_jooby,org.ow2.asm:asm-tree:9.3,asm-tree-9.3,39
jooby_jooby,com.google.code.findbugs:jsr305:3.0.2,jsr305-3.0.2,35
jooby_jooby,org.jetbrains.kotlin:kotlin-stdlib-common:1.6.21,kotlin-stdlib-common-1.6.21,0
jooby_jooby,org.ow2.asm:asm-util:9.3,asm-util-9.3,26
jooby_jooby,commons-io:commons-io:2.11.0,commons-io-2.11.0,201
jooby_jooby,com.typesafe:config:1.4.2,config-1.4.2,181
jooby_jooby,org.jetbrains.kotlin:kotlin-stdlib-jdk7:1.6.21,kotlin-stdlib-jdk7-1.6.21,9
jooby_jooby,org.unbescape:unbescape:1.1.6.RELEASE,unbescape-1.1.6.RELEASE,69
jooby_jooby,org.ow2.asm:asm-analysis:9.3,asm-analysis-9.3,15
jooby_jooby,javax.inject:javax.inject:1,javax.inject-1,6
jooby_jooby,org.jetbrains.kotlin:kotlin-stdlib-jdk8:1.6.21,kotlin-stdlib-jdk8-1.6.21,13
jooby_jooby,io.reactivex.rxjava2:rxjava:2.2.21,rxjava-2.2.21,1659
jooby_jooby,org.jetbrains:annotations:13.0,annotations-13.0,32
flink,org.apache.flink:flink-core:1.15.3,flink-core-1.15.3,1122
flink,org.apache.flink:flink-annotations:1.15.3,flink-annotations-1.15.3,16
flink,org.apache.flink:flink-metrics-core:1.15.3,flink-metrics-core-1.15.3,32
flink,org.apache.flink:flink-shaded-asm-9:9.2-15.0,flink-shaded-asm-9-9.2-15.0,116
flink,com.esotericsoftware.kryo:kryo:2.24.0,kryo-2.24.0,193
flink,com.esotericsoftware.minlog:minlog:1.2,minlog-1.2,2
flink,commons-collections:commons-collections:3.2.2,commons-collections-3.2.2,460
flink,org.apache.commons:commons-compress:1.21,commons-compress-1.21,524
flink,org.apache.flink:flink-shaded-guava:30.1.1-jre-15.0,flink-shaded-guava-30.1.1-jre-15.0,2032
flink,org.apache.commons:commons-lang3:3.3.2,commons-lang3-3.3.2,217
flink,org.apache.commons:commons-math3:3.6.1,commons-math3-3.6.1,1301
flink,com.twitter:chill-java:0.7.6,chill-java-0.7.6,54
flink,org.apache.flink:flink-shaded-force-shading:15.0,flink-shaded-force-shading-15.0,0
flink,org.slf4j:slf4j-api:1.7.32,slf4j-api-1.7.32,34
flink,com.google.code.findbugs:jsr305:1.3.9,jsr305-1.3.9,35
flink,org.objenesis:objenesis:2.1,objenesis-2.1,37
lettuce-core,io.netty:netty-transport-native-unix-common:4.1.85.Final,netty-transport-native-unix-common-4.1.85.Final,32
lettuce-core,io.netty:netty-transport:4.1.85.Final,netty-transport-4.1.85.Final,366
lettuce-core,javax.interceptor:javax.interceptor-api:1.2,javax.interceptor-api-1.2,10
lettuce-core,io.netty:netty-codec-dns:4.1.85.Final,netty-codec-dns-4.1.85.Final,45
lettuce-core,org.jetbrains.kotlinx:kotlinx-coroutines-core-jvm:1.5.2,kotlinx-coroutines-core-jvm-1.5.2,833
lettuce-core,io.projectreactor:reactor-core:3.4.25,reactor-core-3.4.25,903
lettuce-core,javax.el:javax.el-api:3.0.0,javax.el-api-3.0.0,46
lettuce-core,io.netty:netty-transport-native-epoll:4.1.85.Final,netty-transport-native-epoll-4.1.85.Final-linux-x86_64,0
lettuce-core,io.reactivex:rxjava:1.3.8,rxjava-1.3.8,1015
lettuce-core,org.jetbrains.kotlin:kotlin-stdlib-jdk7:1.5.30,kotlin-stdlib-jdk7-1.5.30,8
